Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	RepetitionTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				acquisition-UNIDENT1_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1_datatype-anat_suffix-T1w	1	273	184	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
			acquisition-UNIDENT1VARIANTDim1Size_datatype-anat_suffix-T1w	acquisition-UNIDENT1_datatype-anat_suffix-T1w__2	acquisition-UNIDENT1_datatype-anat_suffix-T1w	2	1	168	210	192	0.00287		False	RAS+	2126	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
				datatype-anat_suffix-T1map__1	datatype-anat_suffix-T1map	1	269	184	210	192	0.00287		False	RAS+	2104	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
			acquisition-VARIANTDim1Size_datatype-anat_suffix-T1map	datatype-anat_suffix-T1map__2	datatype-anat_suffix-T1map	2	1	168	210	192	0.00287		False	RAS+	2104	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
				datatype-anat_inv-1_part-phase_suffix-MP2RAGE__1	datatype-anat_inv-1_part-phase_suffix-MP2RAGE	1	262	184	210	192	0.00287	4.0	False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
			acquisition-VARIANTDim1Size_datatype-anat_inv-1_part-phase_suffix-MP2RAGE	datatype-anat_inv-1_part-phase_suffix-MP2RAGE__2	datatype-anat_inv-1_part-phase_suffix-MP2RAGE	2	1	168	210	192	0.00287	4.0	False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
				datatype-anat_inv-2_part-mag_suffix-MP2RAGE__1	datatype-anat_inv-2_part-mag_suffix-MP2RAGE	1	262	184	210	192	0.00287	5.0	False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
			acquisition-VARIANTDim1Size_datatype-anat_inv-2_part-mag_suffix-MP2RAGE	datatype-anat_inv-2_part-mag_suffix-MP2RAGE__2	datatype-anat_inv-2_part-mag_suffix-MP2RAGE	2	1	168	210	192	0.00287	5.0	False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
				datatype-anat_inv-2_part-phase_suffix-MP2RAGE__1	datatype-anat_inv-2_part-phase_suffix-MP2RAGE	1	262	184	210	192	0.00287	5.0	False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
			acquisition-VARIANTDim1Size_datatype-anat_inv-2_part-phase_suffix-MP2RAGE	datatype-anat_inv-2_part-phase_suffix-MP2RAGE__2	datatype-anat_inv-2_part-phase_suffix-MP2RAGE	2	1	168	210	192	0.00287	5.0	False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
				datatype-anat_suffix-UNIT1__1	datatype-anat_suffix-UNIT1	1	262	184	210	192	0.00287		False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
			acquisition-VARIANTDim1Size_datatype-anat_suffix-UNIT1	datatype-anat_suffix-UNIT1__2	datatype-anat_suffix-UNIT1	2	1	168	210	192	0.00287		False	RAS+	263	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
				acquisition-UNIDENT1corrected_datatype-anat_suffix-T1w__1	acquisition-UNIDENT1corrected_datatype-anat_suffix-T1w	1	262	184	210	192	0.00287		False	RAS+	262	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
				datatype-anat_inv-1_part-mag_suffix-MP2RAGE__1	datatype-anat_inv-1_part-mag_suffix-MP2RAGE	1	260	184	210	192	0.00287	4.0	False	RAS+	261	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
			acquisition-VARIANTDim1Size_datatype-anat_inv-1_part-mag_suffix-MP2RAGE	datatype-anat_inv-1_part-mag_suffix-MP2RAGE__2	datatype-anat_inv-1_part-mag_suffix-MP2RAGE	2	1	168	210	192	0.00287	4.0	False	RAS+	261	anat	0	1	False	4	0.75	6	False	1.0	1.0	1.0
